time,flowcount
"05/11/2022, 00:12:04",1
"05/11/2022, 00:12:06",1
"05/11/2022, 00:12:08",1
"05/11/2022, 00:12:10",1
"05/11/2022, 00:12:12",1
"05/11/2022, 00:12:14",1
"05/11/2022, 00:12:16",1
"05/11/2022, 00:12:18",1
"05/11/2022, 00:12:20",1
"05/11/2022, 00:12:22",1
"05/11/2022, 00:12:24",1
"05/11/2022, 00:12:26",1
"05/11/2022, 00:12:28",1
"05/11/2022, 00:12:30",1
"05/11/2022, 00:12:32",1
"05/11/2022, 00:12:34",1
"05/11/2022, 00:12:36",1
"05/11/2022, 00:12:38",1
"05/11/2022, 00:12:40",1
"05/11/2022, 00:12:42",1
"05/11/2022, 00:12:44",1
"05/11/2022, 00:12:46",1
"05/11/2022, 00:12:48",1
"05/11/2022, 00:12:50",1
"05/11/2022, 00:12:52",1
"05/11/2022, 00:12:54",1
"05/11/2022, 00:12:56",1
"05/11/2022, 00:12:58",1
"05/11/2022, 00:13:00",1
"05/11/2022, 00:13:02",1
"05/11/2022, 00:13:04",1
"05/11/2022, 00:13:06",1
"05/11/2022, 00:13:08",1
"05/11/2022, 00:13:10",1
"05/11/2022, 00:13:12",1
"05/11/2022, 00:13:14",1
"05/11/2022, 00:13:16",1
"05/11/2022, 00:13:18",1
"05/11/2022, 00:13:20",1
"05/11/2022, 00:13:22",1
"05/11/2022, 00:13:24",1
"05/11/2022, 00:13:27",1
"05/11/2022, 00:13:29",1
"05/11/2022, 00:13:31",1
"05/11/2022, 00:13:33",1
"05/11/2022, 00:13:35",1
"05/11/2022, 00:13:37",1
"05/11/2022, 00:13:39",1
"05/11/2022, 00:13:41",1
"05/11/2022, 00:13:43",1
"05/11/2022, 00:13:45",1
"05/11/2022, 00:13:47",1
"05/11/2022, 00:13:49",1
"05/11/2022, 00:13:51",1
"05/11/2022, 00:13:53",1
"05/11/2022, 00:13:55",1
"05/11/2022, 00:13:57",1
"05/11/2022, 00:13:59",1
"05/11/2022, 00:14:01",1
"05/11/2022, 00:14:03",1
"05/11/2022, 00:14:05",1
"05/11/2022, 00:14:07",1
"05/11/2022, 00:14:09",1
"05/11/2022, 00:14:11",1
"05/11/2022, 00:14:13",1
"05/11/2022, 00:14:15",1
"05/11/2022, 00:14:17",1
"05/11/2022, 00:14:19",1
"05/11/2022, 00:14:21",1
"05/11/2022, 00:14:23",1
"05/11/2022, 00:14:25",1
"05/11/2022, 00:14:27",1
"05/11/2022, 00:14:29",1
"05/11/2022, 00:14:31",1
"05/11/2022, 00:14:33",1
"05/11/2022, 00:14:35",1
"05/11/2022, 00:14:37",1
"05/11/2022, 00:14:39",1
"05/11/2022, 00:14:41",1
"05/11/2022, 00:14:43",1
"05/11/2022, 00:14:45",1
"05/11/2022, 00:14:47",1
"05/11/2022, 00:14:49",1
"05/11/2022, 00:14:51",1
"05/11/2022, 00:14:53",1
"05/11/2022, 00:14:55",1
"05/11/2022, 00:14:57",1
