time,sfe,ssip,rfip,type
"05/10/2022, 23:21:46",-90,-10,1.0,0
"05/10/2022, 23:21:49",-90,-10,1.0,0
"05/10/2022, 23:21:52",0,0,1.0,0
"05/10/2022, 23:21:55",-90,-10,1.0,0
"05/10/2022, 23:21:58",-90,-10,1.0,0
"05/10/2022, 23:22:01",-90,-10,1.0,0
"05/10/2022, 23:22:04",-90,-10,1.0,0
"05/10/2022, 23:22:07",-90,-10,1.0,0
"05/10/2022, 23:22:10",-90,-10,1.0,0
"05/10/2022, 23:22:13",-90,-10,1.0,0
"05/10/2022, 23:22:16",-90,-10,1.0,0
"05/10/2022, 23:22:19",-90,-10,1.0,0
"05/10/2022, 23:22:23",-90,-10,1.0,0
"05/10/2022, 23:22:26",-90,-10,1.0,0
"05/10/2022, 23:22:29",-90,-10,1.0,0
"05/10/2022, 23:22:31",-90,-10,1.0,0
"05/10/2022, 23:22:35",-90,-10,1.0,0
"05/10/2022, 23:22:37",0,0,1.0,0
"05/10/2022, 23:22:40",-90,-10,1.0,0
"05/10/2022, 23:22:44",-90,-10,1.0,0
"05/10/2022, 23:22:47",-90,-10,1.0,0
"05/10/2022, 23:22:50",-90,-10,1.0,0
"05/10/2022, 23:22:53",0,0,1.0,0
"05/10/2022, 23:22:56",-90,-10,1.0,0
"05/10/2022, 23:22:59",-90,-10,1.0,0
"05/10/2022, 23:23:02",-90,-10,1.0,0
"05/10/2022, 23:23:05",0,0,1.0,0
"05/10/2022, 23:23:08",-90,-10,1.0,0
"05/10/2022, 23:23:11",-90,-10,1.0,0
"05/10/2022, 23:23:14",-90,-10,1.0,0
"05/10/2022, 23:23:17",-90,-10,1.0,0
"05/10/2022, 23:23:20",-90,-10,1.0,0
"05/10/2022, 23:23:23",0,0,1.0,0
"05/10/2022, 23:23:26",-90,-10,1.0,0
"05/10/2022, 23:23:29",0,0,1.0,0
"05/10/2022, 23:23:32",-90,-10,1.0,0
"05/10/2022, 23:23:35",0,0,1.0,0
time,sfe,ssip,rfip,type
"05/10/2022, 23:24:10",1,0,1.0,1
"05/10/2022, 23:24:13",0,0,1.0,1
"05/10/2022, 23:24:16",0,0,1.0,1
"05/10/2022, 23:24:19",0,0,1.0,1
"05/10/2022, 23:24:22",0,0,1.0,1
"05/10/2022, 23:24:25",0,0,1.0,1
"05/10/2022, 23:24:28",0,0,1.0,1
"05/10/2022, 23:24:31",0,0,1.0,1
"05/10/2022, 23:24:34",0,0,1.0,1
"05/10/2022, 23:24:37",0,0,1.0,1
"05/10/2022, 23:24:40",0,0,1.0,1
"05/10/2022, 23:24:43",0,0,1.0,1
"05/10/2022, 23:24:46",0,0,1.0,1
"05/10/2022, 23:24:49",0,0,1.0,1
"05/10/2022, 23:24:52",0,0,1.0,1
"05/10/2022, 23:24:55",0,0,1.0,1
"05/10/2022, 23:24:58",0,0,1.0,1
"05/10/2022, 23:25:01",0,0,1.0,1
"05/10/2022, 23:25:04",0,0,1.0,1
"05/10/2022, 23:25:07",0,0,1.0,1
"05/10/2022, 23:25:10",0,0,1.0,1
"05/10/2022, 23:25:13",0,0,1.0,1
"05/10/2022, 23:25:16",0,0,1.0,1
"05/10/2022, 23:25:19",0,0,1.0,1
"05/10/2022, 23:25:22",0,0,1.0,1
"05/10/2022, 23:25:25",0,0,1.0,1
"05/10/2022, 23:25:28",0,0,1.0,1
"05/10/2022, 23:25:31",0,0,1.0,1
"05/10/2022, 23:25:34",0,0,1.0,1
"05/10/2022, 23:25:37",0,0,1.0,1
"05/10/2022, 23:25:40",0,0,1.0,1
"05/10/2022, 23:25:43",0,0,1.0,1
"05/10/2022, 23:25:46",0,0,1.0,1
"05/10/2022, 23:25:49",0,0,1.0,1
"05/10/2022, 23:25:52",0,0,1.0,1
"05/10/2022, 23:25:55",0,0,1.0,1
"05/10/2022, 23:25:58",0,0,1.0,1
"05/10/2022, 23:26:01",0,0,1.0,1
"05/10/2022, 23:26:04",0,0,1.0,1
"05/10/2022, 23:26:07",0,0,1.0,1
"05/10/2022, 23:26:10",0,0,1.0,1
"05/10/2022, 23:26:13",0,0,1.0,1
"05/10/2022, 23:26:16",0,0,1.0,1
"05/10/2022, 23:26:19",0,0,1.0,1
"05/10/2022, 23:26:22",0,0,1.0,1
"05/10/2022, 23:26:25",0,0,1.0,1
"05/10/2022, 23:26:28",0,0,1.0,1
"05/10/2022, 23:26:31",0,0,1.0,1
"05/10/2022, 23:26:34",0,0,1.0,1
"05/10/2022, 23:26:37",0,0,1.0,1
"05/10/2022, 23:26:40",0,0,1.0,1
"05/10/2022, 23:26:43",0,0,1.0,1
"05/10/2022, 23:26:46",0,0,1.0,1
"05/10/2022, 23:26:49",0,0,1.0,1
"05/10/2022, 23:26:52",0,0,1.0,1
"05/10/2022, 23:26:55",0,0,1.0,1
"05/10/2022, 23:26:58",0,0,1.0,1
"05/10/2022, 23:27:01",0,0,1.0,1
"05/10/2022, 23:27:04",0,0,1.0,1
"05/10/2022, 23:27:07",0,0,1.0,1
"05/10/2022, 23:27:10",0,0,1.0,1
"05/10/2022, 23:27:13",0,0,1.0,1
"05/10/2022, 23:27:16",0,0,1.0,1
"05/10/2022, 23:27:19",0,0,1.0,1
"05/10/2022, 23:27:22",0,0,1.0,1
"05/10/2022, 23:27:25",0,0,1.0,1
"05/10/2022, 23:27:28",0,0,1.0,1
"05/10/2022, 23:27:31",0,0,1.0,1
"05/10/2022, 23:27:34",0,0,1.0,1
"05/10/2022, 23:27:37",0,0,1.0,1
"05/10/2022, 23:27:40",0,0,1.0,1
"05/10/2022, 23:27:43",0,0,1.0,1
"05/10/2022, 23:27:46",0,0,1.0,1
"05/10/2022, 23:27:49",0,0,1.0,1
"05/10/2022, 23:27:52",0,0,1.0,1
"05/10/2022, 23:27:55",0,0,1.0,1
"05/10/2022, 23:27:58",0,0,1.0,1
"05/10/2022, 23:28:01",-127,-127,1.0,1
"05/10/2022, 23:28:04",-187,-187,1.0,1
"05/10/2022, 23:28:07",-246,-246,1.0,1
"05/10/2022, 23:28:10",-306,-306,1.0,1
"05/10/2022, 23:28:13",-366,-366,1.0,1
"05/10/2022, 23:28:16",-425,-425,1.0,1
"05/10/2022, 23:28:19",-485,-485,1.0,1
"05/10/2022, 23:28:22",-545,-545,1.0,1
"05/10/2022, 23:28:25",-597,-597,1.0,1
"05/10/2022, 23:28:28",-829,-829,1.0,1
"05/10/2022, 23:28:31",-1126,-1126,1.0,1
"05/10/2022, 23:28:34",-1422,-1422,1.0,1
"05/10/2022, 23:28:37",0,0,1.0,1
"05/10/2022, 23:28:40",-1609,-1609,1.0,1
"05/10/2022, 23:28:43",-1807,-1807,1.0,1
"05/10/2022, 23:28:46",-2005,-2005,1.0,1
"05/10/2022, 23:28:49",-2202,-2202,1.0,1
"05/10/2022, 23:28:52",-2598,-2598,1.0,1
"05/10/2022, 23:28:55",-2694,-2694,1.0,1
"05/10/2022, 23:28:58",0,0,1.0,1
"05/10/2022, 23:29:01",-2842,-2842,1.0,1
"05/10/2022, 23:29:04",-3101,-3101,1.0,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"05/10/2022, 23:57:55",-90,-10,1.0,0
"05/10/2022, 23:57:58",-90,-10,1.0,0
"05/10/2022, 23:58:01",-90,-10,1.0,0
"05/10/2022, 23:58:04",-90,-10,1.0,0
"05/10/2022, 23:58:07",-90,-10,1.0,0
"05/10/2022, 23:58:10",-90,-10,1.0,0
time,sfe,ssip,rfip,type
"05/10/2022, 23:58:37",1,0,1.0,1
"05/10/2022, 23:58:42",0,0,1.0,1
"05/10/2022, 23:58:47",0,0,1.0,1
"05/10/2022, 23:58:52",0,0,1.0,1
"05/10/2022, 23:58:57",0,0,1.0,1
"05/10/2022, 23:59:02",0,0,1.0,1
"05/10/2022, 23:59:07",0,0,1.0,1
"05/10/2022, 23:59:12",0,0,1.0,1
"05/10/2022, 23:59:17",0,0,1.0,1
"05/10/2022, 23:59:22",0,0,1.0,1
"05/10/2022, 23:59:27",0,0,1.0,1
"05/10/2022, 23:59:32",0,0,1.0,1
"05/10/2022, 23:59:37",0,0,1.0,1
"05/10/2022, 23:59:42",0,0,1.0,1
"05/10/2022, 23:59:47",0,0,1.0,1
"05/10/2022, 23:59:52",0,0,1.0,1
"05/10/2022, 23:59:57",0,0,1.0,1
"05/11/2022, 00:00:02",0,0,1.0,1
"05/11/2022, 00:00:07",0,0,1.0,1
"05/11/2022, 00:00:12",0,0,1.0,1
"05/11/2022, 00:00:17",0,0,1.0,1
"05/11/2022, 00:00:22",0,0,1.0,1
"05/11/2022, 00:00:27",0,0,1.0,1
"05/11/2022, 00:00:32",0,0,1.0,1
"05/11/2022, 00:00:37",0,0,1.0,1
"05/11/2022, 00:00:42",0,0,1.0,1
"05/11/2022, 00:00:47",0,0,1.0,1
"05/11/2022, 00:00:52",0,0,1.0,1
"05/11/2022, 00:00:57",0,0,1.0,1
"05/11/2022, 00:01:02",0,0,1.0,1
"05/11/2022, 00:01:07",0,0,1.0,1
"05/11/2022, 00:01:12",0,0,1.0,1
"05/11/2022, 00:01:17",0,0,1.0,1
"05/11/2022, 00:01:22",0,0,1.0,1
"05/11/2022, 00:01:27",0,0,1.0,1
"05/11/2022, 00:01:32",0,0,1.0,1
"05/11/2022, 00:01:37",0,0,1.0,1
"05/11/2022, 00:01:42",0,0,1.0,1
"05/11/2022, 00:01:47",0,0,1.0,1
"05/11/2022, 00:01:52",0,0,1.0,1
"05/11/2022, 00:01:57",0,0,1.0,1
"05/11/2022, 00:02:02",0,0,1.0,1
"05/11/2022, 00:02:07",0,0,1.0,1
"05/11/2022, 00:02:12",0,0,1.0,1
"05/11/2022, 00:02:17",0,0,1.0,1
"05/11/2022, 00:02:22",0,0,1.0,1
"05/11/2022, 00:02:27",0,0,1.0,1
"05/11/2022, 00:02:32",0,0,1.0,1
"05/11/2022, 00:02:37",0,0,1.0,1
"05/11/2022, 00:02:42",0,0,1.0,1
"05/11/2022, 00:02:47",0,0,1.0,1
"05/11/2022, 00:02:52",0,0,1.0,1
"05/11/2022, 00:02:57",0,0,1.0,1
"05/11/2022, 00:03:02",0,0,1.0,1
"05/11/2022, 00:03:07",0,0,1.0,1
"05/11/2022, 00:03:12",0,0,1.0,1
"05/11/2022, 00:03:17",0,0,1.0,1
"05/11/2022, 00:03:22",0,0,1.0,1
"05/11/2022, 00:03:27",0,0,1.0,1
"05/11/2022, 00:03:32",0,0,1.0,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"05/16/2022, 12:05:56",-6,-4,1.0,0
"05/16/2022, 12:05:59",-10,-5,1.0,0
"05/16/2022, 12:06:02",-20,-7,1.0,0
"05/16/2022, 12:06:05",-20,-7,1.0,0
"05/16/2022, 12:06:08",-22,-7,1.0,0
"05/16/2022, 12:06:11",-32,-9,1.0,0
"05/16/2022, 12:06:14",-34,-10,1.0,0
